type,short_title,long_title,plan_type,label,id,date,short_topic,long_topic,lat,lon,zone,zone_detail,name,role,start,end
plan,marine_life_deck_Meeting_12_Environmental_Impact_Report,Present findings from the environmental impact study,Report,marine_life_deck_Meeting_12_Environmental_Impact_Report,marine_life_deck_Meeting_12_Environmental_Impact_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,low_volume_crane_Meeting_8_Report,Report on travel and submit letter of support for low-volume unload crane,report,low_volume_crane_Meeting_8_Report,low_volume_crane_Meeting_8_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,deep_fishing_dock_Meeting_3_Maintenance_Plan,Discuss maintenance plan and designate travel representatives,proposal,deep_fishing_dock_Meeting_3_Maintenance_Plan,deep_fishing_dock_Meeting_3_Maintenance_Plan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 16,Meeting_16,Meeting 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,marine_life_deck,marine_life_deck,NA,marine_life_deck,Establishing a Marine Life Observation Deck in Centralia,NA,NA,NA,NA,NA,NA,NA,NA
place,NA,NA,NA,The Bait & Stich,2519420987,NA,NA,NA,-165.9570387791253,39.09481909072149,tourism,restaurant,The Bait & Stich,NA,NA,NA
topic,NA,NA,NA,name_harbor_area,name_harbor_area,NA,name_harbor_area,Putting a name on pictureque harbor area in Port Grove,NA,NA,NA,NA,NA,NA,NA,NA
discussion,concert_Meeting_7_Discussion,Discuss any issues with concert. Discuss needs to get community feedback on concerns,NA,concert_Meeting_7_Discussion,concert_Meeting_7_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,affordable_housing_Meeting_9_Invite_Developers_Discussion,Invite housing developers,NA,affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing_Meeting_9_Invite_Developers_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,low_volume_crane_Meeting_3_Proposal_Discussion,Discuss potential benefits of low-volume unload crane,NA,low_volume_crane_Meeting_3_Proposal_Discussion,low_volume_crane_Meeting_3_Proposal_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Travel_Waveside_Townhomes,Travel to Waveside Townhomes in Lomark,Travel,affordable_housing_Travel_Waveside_Townhomes,affordable_housing_Travel_Waveside_Townhomes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 9,Meeting_9,Meeting 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,affordable_housing_Meeting_10_Travel_Findings_Discussion,Report on travel findings and draft housing proposal suggestion,NA,affordable_housing_Meeting_10_Travel_Findings_Discussion,affordable_housing_Meeting_10_Travel_Findings_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,waterfront_market_Meeting_9_Report_Discussion,"Plan a detailed plan for the market, including layout and vendor requirements",NA,waterfront_market_Meeting_9_Report_Discussion,waterfront_market_Meeting_9_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,NA,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,affordable_housing_Meeting_6_Sites_Proposal_Discussion,Discuss potential sites for affordable housing,NA,affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing_Meeting_6_Sites_Proposal_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,statue_john_smoth,statue_john_smoth,NA,statue_john_smoth,Statue to honor John Smoth in Port Grove,NA,NA,NA,NA,NA,NA,NA,NA
discussion,fish_vacuum_Meeting_3_Report_Discussion,Provide report on cost-benefit analysis,NA,fish_vacuum_Meeting_3_Report_Discussion,fish_vacuum_Meeting_3_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
