role,source,target,key,sentiment,reason,industry,status,time
plan,marine_life_deck_Meeting_12_Environmental_Impact_Report,marine_life_deck,0,NA,NA,,NA,NA
participant,marine_life_deck_Meeting_12_Environmental_Impact_Report,Teddy Goldstein,0,-0.5,Prefers resources to be allocated toward the fishing industry.,,NA,NA
plan,low_volume_crane_Meeting_8_Report,low_volume_crane,0,NA,NA,,NA,NA
participant,low_volume_crane_Meeting_8_Report,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,NA,NA
plan,deep_fishing_dock_Meeting_3_Maintenance_Plan,deep_fishing_dock,0,NA,NA,,NA,NA
participant,deep_fishing_dock_Meeting_3_Maintenance_Plan,Teddy Goldstein,0,NA,NA,,NA,NA
participant,deep_fishing_dock_Meeting_3_Maintenance_Plan,Industrial Shipping,0,NA,NA,,NA,NA
part_of,Meeting_16,concert_Meeting_16_Road_Closures_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_16,concert_Meeting_16_Road_Closures,0,NA,NA,,NA,NA
about,concert_Meeting_7_Discussion,concert_Meeting_7_Concert_Issues,0,NA,NA,,completed,NA
about,concert_Meeting_7_Discussion,concert,0,NA,NA,,NA,NA
participant,concert_Meeting_7_Discussion,Ed Helpsford,0,0.5,Believes concerts can bring community together but cautious about potential disruptions.,,NA,NA
about,affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing_Meeting_9_Invite_Developers,0,NA,NA,,planned,NA
about,affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing,0,NA,NA,,NA,NA
participant,affordable_housing_Meeting_9_Invite_Developers_Discussion,Builders Association,0,1,"Supports affordable housing for workers, which benefits large vessel operations.",,NA,NA
participant,affordable_housing_Meeting_9_Invite_Developers_Discussion,Industrial Shipping,0,1,"Supports affordable housing for workers, which benefits large vessel operations.",,NA,NA
about,low_volume_crane_Meeting_3_Proposal_Discussion,low_volume_crane_Meeting_3_Proposal,0,NA,NA,,completed,NA
about,low_volume_crane_Meeting_3_Proposal_Discussion,low_volume_crane,0,NA,NA,,NA,NA
participant,low_volume_crane_Meeting_3_Proposal_Discussion,Ed Helpsford,0,1,"Beneficial for small time fishers, who he feels are often overlooked",,NA,NA
plan,affordable_housing_Travel_Waveside_Townhomes,affordable_housing,0,NA,NA,,NA,NA
travel,affordable_housing_Travel_Waveside_Townhomes,48468290,0,NA,NA,,NA,NA
part_of,Meeting_9,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_9,expanding_tourist_wharf_Meeting_9_Report,0,NA,NA,,NA,NA
part_of,Meeting_9,statue_john_smoth_Travel_The_Bait_Stich_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_9,statue_john_smoth_Travel_The_Bait_Stich,0,NA,NA,,NA,NA
part_of,Meeting_9,affordable_housing_Travel_Tidewater_Flats_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_9,affordable_housing_Meeting_9_Invite_Developers_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_9,affordable_housing_Travel_Tidewater_Flats,0,NA,NA,,NA,NA
part_of,Meeting_9,affordable_housing_Meeting_9_Invite_Developers,0,NA,NA,,NA,NA
part_of,Meeting_9,name_inspection_office_Meeting_9_Community_Vote_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_9,name_inspection_office_Meeting_9_Community_Vote,0,NA,NA,,NA,NA
part_of,Meeting_9,waterfront_market_Meeting_9_Report_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_9,waterfront_market_Meeting_9_Report,0,NA,NA,,NA,NA
about,affordable_housing_Meeting_10_Travel_Findings_Discussion,affordable_housing_Meeting_10_Housing_Proposal,0,NA,NA,,planned,NA
about,affordable_housing_Meeting_10_Travel_Findings_Discussion,affordable_housing,0,NA,NA,,NA,NA
participant,affordable_housing_Meeting_10_Travel_Findings_Discussion,Ed Helpsford,0,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,,NA,NA
about,waterfront_market_Meeting_9_Report_Discussion,waterfront_market_Meeting_9_Report,0,NA,NA,,planned,NA
about,waterfront_market_Meeting_9_Report_Discussion,waterfront_market,0,NA,NA,,NA,NA
participant,waterfront_market_Meeting_9_Report_Discussion,Ed Helpsford,0,1,Strongly supports as it could benefit small vessel,,NA,NA
about,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane_Travel_Harbor_Route_Solutions,0,NA,NA,,completed,NA
about,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane,0,NA,NA,,NA,NA
participant,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,NA,NA
refers_to,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,35889363,0,NA,NA,,NA,NA
about,affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing_Meeting_6_Sites_Proposal,0,NA,NA,,in_progress,NA
about,affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing,0,NA,NA,,NA,NA
participant,affordable_housing_Meeting_6_Sites_Proposal_Discussion,Builders Association,0,1,"Supports affordable housing for workers, which benefits large vessel operations.",,NA,NA
participant,affordable_housing_Meeting_6_Sites_Proposal_Discussion,Saltwater Serenades,0,-1,Conflicts with tourism-focused short-term rentals.,,NA,NA
about,fish_vacuum_Meeting_3_Report_Discussion,fish_vacuum_Meeting_3_Report,0,NA,NA,,completed,NA
about,fish_vacuum_Meeting_3_Report_Discussion,fish_vacuum,0,NA,NA,,NA,NA
participant,fish_vacuum_Meeting_3_Report_Discussion,Teddy Goldstein,0,0.5,Useful for fishing operations but may have environmental concerns.,,NA,NA
about,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,affordable_housing_Travel_Waveside_Townhomes,0,NA,NA,,completed,NA
about,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,affordable_housing,0,NA,NA,,NA,NA
participant,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,Ed Helpsford,0,1,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,,NA,NA
refers_to,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,48468290,0,NA,NA,,NA,NA
plan,affordable_housing_Travel_Tidewater_Flats,affordable_housing,0,NA,NA,,NA,NA
travel,affordable_housing_Travel_Tidewater_Flats,48480127,0,NA,NA,,NA,NA
participant,affordable_housing_Travel_Tidewater_Flats,Teddy Goldstein,0,1,Strongly supports affordable housing for workers.,,NA,NA
part_of,Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_4,deep_fishing_dock_Meeting_4_Recommendation_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report,0,NA,NA,,NA,NA
part_of,Meeting_4,deep_fishing_dock_Meeting_4_Recommendation,0,NA,NA,,NA,NA
part_of,Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis,0,NA,NA,,NA,NA
part_of,Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,0,NA,NA,,NA,NA
part_of,Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas,0,NA,NA,,NA,NA
about,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,0,NA,NA,,completed,NA
about,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum,0,NA,NA,,NA,NA
participant,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,High Seas Fishing Inc.,0,1,"Small vessels are the backbone of the company, and this improves operations.",,NA,NA
plan,waterfront_market_Meeting_7_Benefits_Feasibility,waterfront_market,0,NA,NA,,NA,NA
