role,Discussion_ID,Member,key,sentiment,reason,industry,status,time,Dataset,Topic_Key,Industry,Is_Member_Target,Sentiment_Label,Meeting_Num,Dataset_Label,discussion_type,short_title,long_title,date_parsed,Year,Month
participant,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,Seal,0,0.1,"Seems like headache, but if other people are willing to do the work.",,,,filah,expanding_tourist_wharf,tourism,True,Neutral,7.0,FILAH (Fishing Lobby),discussion,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,Discuss and share initial views on expanding the tourist wharf/infrastructure,,,
participant,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,Simone Kat,0,0.5,Supports tourism growth,,,,filah,expanding_tourist_wharf,tourism,True,Pro,8.0,FILAH (Fishing Lobby),discussion,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,Discuss travel plans to Harbor Route Solutions in Haacklee,,,
participant,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Simone Kat,0,0.5,Supports tourism growth,,,,filah,expanding_tourist_wharf,tourism,True,Pro,8.0,FILAH (Fishing Lobby),plan,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,,,
participant,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,Seal,0,0.1,"Seems like headache, but if other people are willing to do the work.",,,,filah,expanding_tourist_wharf,tourism,True,Neutral,8.0,FILAH (Fishing Lobby),discussion,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,Expand on views and ideas discussed in the previous meeting,,,
participant,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,Simone Kat,0,0.5,Supports tourism growth,,,,filah,expanding_tourist_wharf,tourism,True,Pro,9.0,FILAH (Fishing Lobby),discussion,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,,,
participant,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Seal,0,0.1,"Seems like headache, but if other people are willing to do the work.",,,,filah,expanding_tourist_wharf,tourism,True,Neutral,9.0,FILAH (Fishing Lobby),discussion,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Get a formal cost impact & environment report started,,,
participant,expanding_tourist_wharf_Meeting_9_Report,Seal,0,0.1,"Seems like headache, but if other people are willing to do the work.",,,,filah,expanding_tourist_wharf,tourism,True,Neutral,9.0,FILAH (Fishing Lobby),plan,expanding_tourist_wharf_Meeting_9_Report,Get a formal cost impact & environment report,,,
participant,statue_john_smoth_Travel_The_Bait_Stich_Discussion,Seal,0,0.2,Appreciates historical recognition but sees limited practical benefit.,,,,filah,statue_john_smoth,neutral,True,Neutral,9.0,FILAH (Fishing Lobby),discussion,statue_john_smoth_Travel_The_Bait_Stich_Discussion,Discuss travel plans to The Bait & Stich for feedback gathering,,,
participant,statue_john_smoth_Travel_The_Bait_Stich,Seal,0,0.2,Appreciates historical recognition but sees limited practical benefit.,,,,filah,statue_john_smoth,neutral,True,Neutral,9.0,FILAH (Fishing Lobby),plan,statue_john_smoth_Travel_The_Bait_Stich,Travel to The Bait & Stich,,,
participant,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,Simone Kat,0,,,,,,filah,deep_fishing_dock,fishing,True,Not Rated,3.0,FILAH (Fishing Lobby),discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,Discuss travel plans to High Seas Fishing Inc. in Himark,,,
participant,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Simone Kat,0,,,,,,filah,deep_fishing_dock,fishing,True,Not Rated,3.0,FILAH (Fishing Lobby),plan,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Travel to High Seas Fishing Inc. in Himark,,,
participant,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,Simone Kat,0,,,,,,filah,deep_fishing_dock,fishing,True,Not Rated,4.0,FILAH (Fishing Lobby),discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,Discuss the completed travel plans to High Seas Fishing Inc. in Himark,,,
participant,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,Simone Kat,0,-0.5,"Primarily benefits large vessel operations, with limited relevance to tourism",,,,filah,new_crane_lomark,fishing,True,Against,5.0,FILAH (Fishing Lobby),discussion,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,Discuss travel plans to Blue Wave Shipping in Lomark,,,
participant,new_crane_lomark_Travel_Blue_Wave_Shipping,Simone Kat,0,-0.5,"Primarily benefits large vessel operations, with limited relevance to tourism",,,,filah,new_crane_lomark,fishing,True,Against,5.0,FILAH (Fishing Lobby),plan,new_crane_lomark_Travel_Blue_Wave_Shipping,Travel to Blue Wave Shipping in Lomark,,,
participant,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,Simone Kat,0,-0.5,"Primarily benefits large vessel operations, with limited relevance to tourism",,,,filah,new_crane_lomark,fishing,True,Against,8.0,FILAH (Fishing Lobby),discussion,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,Discuss the completed travel plans to Blue Wave Shipping in Lomark,,,
participant,fish_vacuum_Meeting_1_Introduction,Seal,0,0.0,Balanced view on new technology applications.,,,,filah,fish_vacuum,fishing,True,Neutral,1.0,FILAH (Fishing Lobby),plan,fish_vacuum_Meeting_1_Introduction,General Introduction to what a fish vacuum is,,,
participant,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,Simone Kat,0,-0.1,Would rather see money go to tourism initiatives,,,,filah,fish_vacuum,fishing,True,Neutral,2.0,FILAH (Fishing Lobby),discussion,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,Discuss travel plans to Bay Harvest Corporation in Himark,,,
participant,fish_vacuum_Travel_Bay_Harvest_Corporation,Simone Kat,0,-0.1,Would rather see money go to tourism initiatives,,,,filah,fish_vacuum,fishing,True,Neutral,2.0,FILAH (Fishing Lobby),plan,fish_vacuum_Travel_Bay_Harvest_Corporation,Travel to Bay Harvest Corporation in Himark,,,
participant,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,Simone Kat,0,-0.1,Would rather see money go to tourism initiatives,,,,filah,fish_vacuum,fishing,True,Neutral,3.0,FILAH (Fishing Lobby),discussion,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,Discuss the completed travel plans to Bay Harvest Corporation in Lomark,,,
participant,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,,,filah,low_volume_crane,fishing,True,Neutral,5.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,Discuss travel plans to Harbor Route Solutions in Haacklee,,,
participant,low_volume_crane_Travel_Harbor_Route_Solutions,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,,,filah,low_volume_crane,fishing,True,Neutral,5.0,FILAH (Fishing Lobby),plan,low_volume_crane_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,,,
participant,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,,,filah,low_volume_crane,fishing,True,Neutral,8.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,,,
participant,low_volume_crane_Travel_Harbor_Builders_Discussion,Simone Kat,0,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",,,,filah,low_volume_crane,fishing,True,Pro,8.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Travel_Harbor_Builders_Discussion,Discuss travel plans to Harbor Builders in Haacklee,,,
participant,low_volume_crane_Travel_Harbor_Builders,Simone Kat,0,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",,,,filah,low_volume_crane,fishing,True,Pro,8.0,FILAH (Fishing Lobby),plan,low_volume_crane_Travel_Harbor_Builders,Travel to Harbor Builders in Haacklee,,,
participant,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,Simone Kat,0,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",,,,filah,low_volume_crane,fishing,True,Pro,8.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,Discuss travel plans to Haacklee Assembly Co. in Haacklee,,,
participant,low_volume_crane_Travel_Haacklee_Assembly_Co,Simone Kat,0,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",,,,filah,low_volume_crane,fishing,True,Pro,8.0,FILAH (Fishing Lobby),plan,low_volume_crane_Travel_Haacklee_Assembly_Co,Travel to Haacklee Assembly Co. in Haacklee,,,
participant,low_volume_crane_Meeting_8_Report_Discussion,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,,,filah,low_volume_crane,fishing,True,Neutral,8.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Meeting_8_Report_Discussion,Report on travel and submit letter of support for low-volume unload crane,,,
participant,low_volume_crane_Meeting_8_Report,Seal,0,0.1,Recognizes the crane's benefit to small-scale operations.,,,,filah,low_volume_crane,fishing,True,Neutral,8.0,FILAH (Fishing Lobby),plan,low_volume_crane_Meeting_8_Report,Report on travel and submit letter of support for low-volume unload crane,,,
participant,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,Simone Kat,0,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",,,,filah,low_volume_crane,fishing,True,Pro,9.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,Discuss the completed travel plans to Harbor Builders in Haacklee,,,
participant,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,Simone Kat,0,0.75,"Supports small-scale operations, which align with small vessel activities and tourism. Tourism is increasingly focused on small scale pictureque fishing",,,,filah,low_volume_crane,fishing,True,Pro,9.0,FILAH (Fishing Lobby),discussion,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,Discuss the completed travel plans to Haacklee Assembly Co. in Haacklee,,,
participant,affordable_housing_Travel_Waveside_Townhomes_Discussion,Simone Kat,0,-1.0,Conflicts with tourism-focused short-term rentals,,,,filah,affordable_housing,neutral,True,Against,7.0,FILAH (Fishing Lobby),discussion,affordable_housing_Travel_Waveside_Townhomes_Discussion,Discuss travel plans to Waveside Townhomes in Lomark,,,
participant,affordable_housing_Travel_Waveside_Townhomes,Simone Kat,0,-1.0,Conflicts with tourism-focused short-term rentals,,,,filah,affordable_housing,neutral,True,Against,7.0,FILAH (Fishing Lobby),plan,affordable_housing_Travel_Waveside_Townhomes,Travel to Waveside Townhomes in Lomark,,,
participant,affordable_housing_Meeting_7_Debate_Discussion,Simone Kat,0,-1.0,Conflicts with tourism-focused short-term rentals,,,,filah,affordable_housing,neutral,True,Against,7.0,FILAH (Fishing Lobby),discussion,affordable_housing_Meeting_7_Debate_Discussion,Debate the conflict with short-term rentals,,,
participant,affordable_housing_Meeting_7_Debate,Simone Kat,0,-1.0,Conflicts with tourism-focused short-term rentals,,,,filah,affordable_housing,neutral,True,Against,7.0,FILAH (Fishing Lobby),plan,affordable_housing_Meeting_7_Debate,Debate the conflict with short-term rentals,,,
participant,renaming_park_himark_Travel_Himark_City_Hall_Discussion,Carol Limpet,0,0.5,Symbolic gesture that could attract tourists and improve community pride.,,,,filah,renaming_park_himark,neutral,True,Pro,5.0,FILAH (Fishing Lobby),discussion,renaming_park_himark_Travel_Himark_City_Hall_Discussion,Discuss travel plans to Himark City Hall,,,
participant,renaming_park_himark_Travel_Himark_City_Hall,Carol Limpet,0,0.5,Symbolic gesture that could attract tourists and improve community pride.,,,,filah,renaming_park_himark,neutral,True,Pro,5.0,FILAH (Fishing Lobby),plan,renaming_park_himark_Travel_Himark_City_Hall,Travel to Himark City Hall,,,
participant,renaming_park_himark_Meeting_5_Nominations_Discussion,Carol Limpet,0,0.5,Symbolic gesture that could attract tourists and improve community pride.,,,,filah,renaming_park_himark,neutral,True,Pro,5.0,FILAH (Fishing Lobby),discussion,renaming_park_himark_Meeting_5_Nominations_Discussion,Solicit community nominations for the new park name,,,
participant,renaming_park_himark_Meeting_5_Nominations,Carol Limpet,0,0.5,Symbolic gesture that could attract tourists and improve community pride.,,,,filah,renaming_park_himark,neutral,True,Pro,5.0,FILAH (Fishing Lobby),plan,renaming_park_himark_Meeting_5_Nominations,Solicit community nominations for the new park name,,,
participant,renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,Carol Limpet,0,0.5,Symbolic gesture that could attract tourists and improve community pride.,,,,filah,renaming_park_himark,neutral,True,Pro,8.0,FILAH (Fishing Lobby),discussion,renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,Discuss the completed travel plans to Himark City Hall,,,
participant,name_inspection_office_Meeting_8_Proposal_Discussion,Simone Kat,0,0.0,Symbolic gesture with no direct impact on tourism or vessel operations.,,,,filah,name_inspection_office,neutral,True,Neutral,8.0,FILAH (Fishing Lobby),discussion,name_inspection_office_Meeting_8_Proposal_Discussion,Propose potential names based on feedback,,,
participant,name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,Simone Kat,0,0.0,Symbolic gesture with no direct impact on tourism or vessel operations.,,,,filah,name_inspection_office,neutral,True,Neutral,9.0,FILAH (Fishing Lobby),discussion,name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,Discuss the completed travel plans to Lomark Civic Plaza,,,
participant,marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Simone Kat,0,1.0,"Strongly supports as it could be a major attraction, benefiting tourism.",,,,filah,marine_life_deck,tourism,True,Pro,10.0,FILAH (Fishing Lobby),discussion,marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Discuss initial ideas and viability of a marine life observation deck,,,
participant,marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,10.0,FILAH (Fishing Lobby),discussion,marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Discuss initial ideas and viability of a marine life observation deck,,,
participant,marine_life_deck_Meeting_10_Initial_Ideas,Simone Kat,0,1.0,"Strongly supports as it could be a major attraction, benefiting tourism.",,,,filah,marine_life_deck,tourism,True,Pro,10.0,FILAH (Fishing Lobby),plan,marine_life_deck_Meeting_10_Initial_Ideas,Discuss initial ideas and viability of a marine life observation deck,,,
participant,marine_life_deck_Meeting_10_Initial_Ideas,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,10.0,FILAH (Fishing Lobby),plan,marine_life_deck_Meeting_10_Initial_Ideas,Discuss initial ideas and viability of a marine life observation deck,,,
participant,marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,11.0,FILAH (Fishing Lobby),discussion,marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,Discuss travel plans to Tropics Environmental Hub in Centralia,,,
participant,marine_life_deck_Travel_Tropics_Environmental_Hub,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,11.0,FILAH (Fishing Lobby),plan,marine_life_deck_Travel_Tropics_Environmental_Hub,Travel to Tropics Environmental Hub in Centralia,,,
participant,marine_life_deck_Meeting_11_Feedback_Discussion,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,11.0,FILAH (Fishing Lobby),discussion,marine_life_deck_Meeting_11_Feedback_Discussion,Gather initial feedback from local businesses and community members,,,
participant,marine_life_deck_Meeting_11_Feedback,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,11.0,FILAH (Fishing Lobby),plan,marine_life_deck_Meeting_11_Feedback,Gather initial feedback from local businesses and community members,,,
participant,marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,Carol Limpet,0,0.5,Sees educational value but concerned about sustainable funding.,,,,filah,marine_life_deck,tourism,True,Pro,12.0,FILAH (Fishing Lobby),discussion,marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,Discuss the completed travel plans to Tropics Environmental Hub in Centralia,,,
participant,marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,Simone Kat,0,1.0,"Strongly supports as it could be a major attraction, benefiting tourism.",,,,filah,marine_life_deck,tourism,True,Pro,12.0,FILAH (Fishing Lobby),discussion,marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,Formulate a detailed proposal for the observation deck based on feedback,,,
participant,marine_life_deck_Meeting_12_Detailed_Proposal,Simone Kat,0,1.0,"Strongly supports as it could be a major attraction, benefiting tourism.",,,,filah,marine_life_deck,tourism,True,Pro,12.0,FILAH (Fishing Lobby),plan,marine_life_deck_Meeting_12_Detailed_Proposal,Formulate a detailed proposal for the observation deck based on feedback,,,
participant,seafood_festival_Meeting_1_Discussion,Simone Kat,0,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,,,,filah,seafood_festival,fishing,True,Pro,1.0,FILAH (Fishing Lobby),discussion,seafood_festival_Meeting_1_Discussion,Discuss the feasibility and benefits of hosting an annual seafood festival,,,
participant,seafood_festival_Meeting_1_Discussion,Carol Limpet,0,0.75,Supports as it offers community and economic benefits.,,,,filah,seafood_festival,fishing,True,Pro,1.0,FILAH (Fishing Lobby),discussion,seafood_festival_Meeting_1_Discussion,Discuss the feasibility and benefits of hosting an annual seafood festival,,,
participant,seafood_festival_Meeting_1_Feasibility,Simone Kat,0,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,,,,filah,seafood_festival,fishing,True,Pro,1.0,FILAH (Fishing Lobby),plan,seafood_festival_Meeting_1_Feasibility,Discuss the feasibility and benefits of hosting an annual seafood festival,,,
participant,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,Carol Limpet,0,0.75,Supports as it offers community and economic benefits.,,,,filah,seafood_festival,fishing,True,Pro,2.0,FILAH (Fishing Lobby),discussion,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,Discuss travel plans to Dock & Roll Hall of Fame in Paackland,,,
participant,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,Carol Limpet,0,0.75,Supports as it offers community and economic benefits.,,,,filah,seafood_festival,fishing,True,Pro,2.0,FILAH (Fishing Lobby),plan,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,Travel to Dock & Roll Hall of Fame in Paackland,,,
participant,seafood_festival_Meeting_2_Feedback_Discussion,Carol Limpet,0,0.75,Supports as it offers community and economic benefits.,,,,filah,seafood_festival,fishing,True,Pro,2.0,FILAH (Fishing Lobby),discussion,seafood_festival_Meeting_2_Feedback_Discussion,Gather feedback from local businesses and potential vendors,,,
participant,seafood_festival_Meeting_2_Feedback,Simone Kat,0,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,,,,filah,seafood_festival,fishing,True,Pro,2.0,FILAH (Fishing Lobby),plan,seafood_festival_Meeting_2_Feedback,Gather feedback from local businesses and potential vendors,,,
participant,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,Carol Limpet,0,0.75,Supports as it offers community and economic benefits.,,,,filah,seafood_festival,fishing,True,Pro,3.0,FILAH (Fishing Lobby),discussion,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,Discuss the completed travel plans to Dock & Roll Hall of Fame in Paackland,,,
participant,seafood_festival_Meeting_3_Take_Action_Discussion,Simone Kat,0,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,,,,filah,seafood_festival,fishing,True,Pro,3.0,FILAH (Fishing Lobby),discussion,seafood_festival_Meeting_3_Take_Action_Discussion,Coordinate with local authorities to secure necessary permits and finalize plans,,,
participant,seafood_festival_Meeting_3_Take_Action,Simone Kat,0,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,,,,filah,seafood_festival,fishing,True,Pro,3.0,FILAH (Fishing Lobby),plan,seafood_festival_Meeting_3_Take_Action,Coordinate with local authorities to secure necessary permits and finalize plans,,,
participant,heritage_walking_tour_Meeting_7_Discussion,Simone Kat,0,1.0,Believes it will enhance the cultural appeal and attract more visitors.,,,,filah,heritage_walking_tour,tourism,True,Pro,7.0,FILAH (Fishing Lobby),discussion,heritage_walking_tour_Meeting_7_Discussion,Discuss and outline the proposed heritage walking tour route and main landmarks,,,
